ref_no,event_ts,debit_acct,credit_acct,txn_value,ccy,activity_code,channel_cd,orig_ctry,dest_ctry,aml_flag,typology
T-000223,2025-04-23 04:37:00.000000,ACC-N0107,ACC-N0035,760.94,USD,XFER,MOB,GB,US,,
T-000224,2025-03-11 09:42:00.000000,ACC-LAY02,ACC-N0061,1914.82,USD,WD,BRN,CA,CA,,
T-000225,2025-03-04 06:48:00.000000,ACC-N0193,ACC-N0169,8988.87,USD,XFER,MOB,US,CA,,
T-000226,2025-04-22 20:43:00.000000,ACC-N0100,ACC-N0147,1802.63,USD,WD,ATM,AU,CA,,
T-000227,2025-03-19 10:13:00.000000,ACC-N0179,ACC-RCO02,105.8,USD,WD,BRN,CA,GB,,
T-000228,2025-03-08 20:22:00.000000,ACC-N0211,ACC-SMF11,5970.85,USD,DEP,ATM,US,DE,,
T-000229,2025-04-05 17:11:00.000000,ACC-STR07,ACC-N0081,9398.2,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000230,2025-04-06 21:48:00.000000,ACC-N0211,ACC-N0137,13264.77,USD,XFER,MOB,US,SG,,
T-000231,2025-03-29 14:51:00.000000,ACC-N0061,ACC-N0131,11540.5,USD,XFER,ONL,FR,FR,,
T-000232,2025-05-25 13:41:00.000000,ACC-N0035,ACC-HUB04,9137.27,USD,XFER,MOB,US,AU,,
T-000233,2025-04-29 09:16:00.000000,ACC-STR05,ACC-N0048,9405.23,USD,XFER,ATM,US,US,Y,STRUCTURING
T-000234,2025-03-28 09:20:00.000000,ACC-N0123,ACC-N0154,8681.29,USD,DEP,BRN,AU,AU,,
T-000235,2025-03-07 17:49:00.000000,ACC-N0203,ACC-STR10,320.4,USD,WD,BRN,JP,CA,,
T-000236,2025-03-25 08:07:00.000000,ACC-N0133,ACC-N0183,6053.79,USD,XFER,MOB,SG,CA,,
T-000237,2025-04-05 23:27:00.000000,ACC-N0132,ACC-N0133,2389.82,USD,WD,ATM,GB,AU,,
T-000238,2025-03-15 02:03:00.000000,ACC-N0204,ACC-LAY09,14156.86,USD,XFER,ONL,CA,FR,,
T-000239,2025-05-06 07:51:00.000000,ACC-STR03,ACC-N0005,9583.94,USD,CSH,BRN,US,US,Y,STRUCTURING
T-000240,2025-05-29 07:34:00.000000,ACC-N0108,ACC-N0147,12789.63,USD,DEP,ONL,AU,GB,,
T-000241,2025-04-12 18:54:00.000000,ACC-N0089,ACC-N0069,3645.55,USD,WD,BRN,GB,CA,,
T-000242,2025-05-29 01:44:00.000000,ACC-N0163,ACC-N0005,6475.57,USD,XFER,MOB,CA,JP,,
T-000243,2025-04-21 04:33:00.000000,ACC-SMF11,ACC-N0179,10037.44,USD,XFER,MOB,CA,CA,,
T-000244,2025-05-13 12:59:00.000000,ACC-N0054,ACC-N0004,5176.47,USD,XFER,MOB,JP,US,,
T-000245,2025-05-24 18:00:00.000000,ACC-N0101,ACC-STR09,11784.33,USD,XFER,ONL,AU,SG,,
T-000246,2025-05-09 16:48:00.000000,ACC-N0010,ACC-N0114,1962.51,USD,XFER,ONL,GB,SG,,
T-000247,2025-05-20 07:15:00.000000,ACC-N0107,ACC-N0077,909.06,USD,XFER,ONL,AU,JP,,
T-000248,2025-03-30 19:33:00.000000,ACC-N0096,ACC-N0219,173.17,USD,XFER,MOB,AU,AU,,
T-000249,2025-03-17 18:08:00.000000,ACC-N0054,ACC-RCO01,65811.92,USD,WIRE,WR,DE,US,Y,RAPID_CASHOUT
T-000250,2025-05-02 04:10:00.000000,ACC-STR04,ACC-SMF01,2541.25,USD,XFER,ONL,GB,FR,,
T-000251,2025-03-02 05:13:51.137343,ACC-HUB02,ACC-SMF09,9210.1,USD,XFER,ONL,US,US,Y,SMURFING
T-000252,2025-05-11 10:05:00.000000,ACC-LAY21,ACC-N0135,8930.91,USD,XFER,MOB,CA,SG,,
T-000253,2025-04-26 23:10:00.000000,ACC-N0004,ACC-N0187,4769.91,USD,WD,BRN,JP,CA,,
T-000254,2025-03-13 17:08:00.000000,ACC-N0178,ACC-HUB02,8624.97,USD,DEP,ATM,CA,FR,,
T-000255,2025-05-15 11:01:00.000000,ACC-N0139,ACC-N0136,10290.92,USD,XFER,MOB,CA,FR,,
T-000256,2025-04-17 02:27:00.000000,ACC-RCO07,ACC-N0006,14968.5,USD,WD,ATM,AU,DE,,
T-000257,2025-03-14 22:11:29.538723,ACC-RCO07,ACC-N0158,18801.44,USD,CSH,ATM,US,US,Y,RAPID_CASHOUT
T-000258,2025-03-29 19:46:00.000000,ACC-N0018,ACC-HUB03,117196.23,USD,WIRE,WR,US,US,Y,SMURFING
T-000259,2025-03-19 05:28:00.000000,ACC-N0008,ACC-STR11,2377.16,USD,XFER,ONL,US,CA,,
T-000260,2025-05-26 13:17:00.000000,ACC-N0163,ACC-N0160,7362.79,USD,XFER,MOB,JP,DE,,
T-000261,2025-05-20 17:38:00.000000,ACC-SMF18,ACC-N0041,12214.13,USD,DEP,ONL,GB,CA,,
T-000262,2025-04-01 12:13:00.000000,ACC-RCO09,ACC-N0160,3012.3,USD,DEP,ONL,GB,AU,,
T-000263,2025-03-13 00:31:00.000000,ACC-N0157,ACC-N0160,9498.45,USD,XFER,MOB,US,AU,,
T-000264,2025-03-21 14:14:00.000000,ACC-N0089,ACC-STR02,1135.06,USD,WD,ATM,CA,CA,,
T-000265,2025-04-25 18:02:00.000000,ACC-N0144,ACC-N0097,12449.04,USD,DEP,BRN,AU,US,,
T-000266,2025-03-30 09:37:17.602271,ACC-HUB03,ACC-SMF15,7277.69,USD,XFER,ONL,US,US,Y,SMURFING
T-000267,2025-05-14 22:10:00.000000,ACC-STR03,ACC-STR05,551.87,USD,XFER,ONL,US,DE,,
T-000268,2025-04-25 06:46:00.000000,ACC-N0153,ACC-N0211,13348.53,USD,WD,ATM,JP,JP,,
T-000269,2025-03-20 11:49:00.000000,ACC-LAY07,ACC-N0059,9098.22,USD,DEP,ONL,CA,JP,,
T-000270,2025-04-09 11:53:00.000000,ACC-N0162,ACC-N0012,13201.07,USD,DEP,ONL,US,SG,,
T-000271,2025-03-04 23:34:00.000000,ACC-N0122,ACC-RCO04,2662.07,USD,XFER,ONL,US,AU,,
T-000272,2025-04-21 08:42:00.000000,ACC-N0001,ACC-N0061,3639.41,USD,WD,BRN,GB,CA,,
T-000273,2025-05-21 23:17:00.000000,ACC-N0135,ACC-N0064,13815.86,USD,XFER,ONL,US,SG,,
T-000274,2025-05-15 16:05:00.000000,ACC-N0211,ACC-N0155,11286.37,USD,XFER,ONL,SG,CA,,
T-000275,2025-03-12 22:38:00.000000,ACC-LAY15,ACC-N0036,12951.73,USD,DEP,ONL,AU,AU,,
T-000276,2025-05-27 15:56:00.000000,ACC-N0164,ACC-N0078,13061.47,USD,XFER,MOB,FR,GB,,
T-000277,2025-05-12 05:41:00.000000,ACC-N0115,ACC-N0130,179.08,USD,XFER,MOB,JP,SG,,
T-000278,2025-05-25 14:26:00.000000,ACC-N0130,ACC-N0125,6976.36,USD,DEP,BRN,AU,DE,,
T-000279,2025-05-03 20:46:00.000000,ACC-SMF17,ACC-N0079,6300.73,USD,DEP,BRN,CA,FR,,
T-000280,2025-04-14 23:50:00.000000,ACC-N0200,ACC-N0103,12619.57,USD,XFER,ONL,AU,US,,
T-000281,2025-03-09 19:43:00.000000,ACC-N0060,ACC-N0157,3893.47,USD,WD,BRN,DE,US,,
T-000282,2025-03-18 05:02:00.000000,ACC-N0198,ACC-N0164,14114.57,USD,WD,BRN,JP,US,,
T-000283,2025-04-03 16:02:00.000000,ACC-N0045,ACC-N0073,8134.46,USD,XFER,ONL,CA,GB,,
T-000284,2025-05-18 23:18:00.000000,ACC-N0206,ACC-N0159,14124.03,USD,DEP,ONL,AU,SG,,
T-000285,2025-05-25 22:52:00.000000,ACC-LAY14,ACC-N0164,542.21,USD,XFER,MOB,GB,FR,,
T-000286,2025-05-06 11:09:00.000000,ACC-STR11,ACC-N0140,14103.67,USD,DEP,ONL,US,CA,,
T-000287,2025-05-08 14:39:00.000000,ACC-N0085,ACC-N0073,10331.49,USD,DEP,ONL,US,AU,,
T-000288,2025-05-14 23:13:00.000000,ACC-N0198,ACC-SMF11,1290.19,USD,DEP,BRN,CA,FR,,
T-000289,2025-04-07 12:47:00.000000,ACC-STR07,ACC-N0081,9670.78,USD,XFER,ATM,US,US,Y,STRUCTURING
T-000290,2025-03-07 22:46:25.460351,ACC-RCO08,ACC-N0032,8711.93,USD,CSH,ATM,US,US,Y,RAPID_CASHOUT
T-000291,2025-04-30 03:41:00.000000,ACC-STR03,ACC-N0005,9793.89,USD,XFER,BRN,US,US,Y,STRUCTURING
T-000292,2025-03-25 19:03:00.000000,ACC-N0088,ACC-N0140,11164.19,USD,XFER,ONL,AU,GB,,
T-000293,2025-04-08 12:52:00.000000,ACC-N0096,ACC-SMF17,11733.1,USD,XFER,MOB,FR,JP,,
T-000294,2025-05-13 06:30:00.000000,ACC-N0039,ACC-N0054,6046.8,USD,DEP,BRN,GB,CA,,
T-000295,2025-05-20 10:17:00.000000,ACC-N0200,ACC-N0140,5744.43,USD,XFER,ONL,JP,SG,,
T-000296,2025-05-19 21:14:00.000000,ACC-N0023,ACC-N0034,3925.06,USD,DEP,BRN,JP,US,,
T-000297,2025-03-28 08:21:00.000000,ACC-N0136,ACC-N0026,4048.9,USD,XFER,ONL,GB,FR,,
T-000298,2025-03-18 22:39:00.000000,ACC-RCO07,ACC-N0075,1113.83,USD,XFER,MOB,JP,FR,,
T-000299,2025-03-20 20:28:00.000000,ACC-STR01,ACC-SMF24,9847.13,USD,XFER,BRN,US,US,Y,STRUCTURING
T-000300,2025-05-10 14:10:00.000000,ACC-N0099,ACC-N0138,13422.03,USD,DEP,ONL,JP,JP,,
T-000301,2025-04-25 00:07:00.000000,ACC-N0143,ACC-N0114,9737.98,USD,DEP,ONL,SG,FR,,
T-000302,2025-03-18 06:13:00.000000,ACC-N0169,ACC-N0073,4974.55,USD,DEP,ONL,DE,SG,,
T-000303,2025-03-12 08:51:00.000000,ACC-LAY08,ACC-N0146,13665.06,USD,WD,BRN,FR,JP,,
T-000304,2025-03-22 18:06:00.000000,ACC-N0008,ACC-STR04,13349.66,USD,XFER,ONL,DE,JP,,
T-000305,2025-05-25 17:38:00.000000,ACC-SMF12,ACC-N0157,9918.37,USD,WD,BRN,AU,SG,,
T-000306,2025-03-10 08:37:00.000000,ACC-SMF05,ACC-N0215,2671.48,USD,WD,BRN,JP,JP,,
T-000307,2025-03-31 18:54:00.000000,ACC-N0184,ACC-N0112,2818.69,USD,XFER,ONL,US,SG,,
T-000308,2025-05-20 10:45:00.000000,ACC-N0162,ACC-N0195,1896.06,USD,XFER,MOB,CA,FR,,
T-000309,2025-04-21 22:59:00.000000,ACC-N0007,ACC-N0101,5776.96,USD,DEP,ONL,FR,SG,,
T-000310,2025-04-14 05:49:00.000000,ACC-LAY07,ACC-N0184,742.73,USD,WD,ATM,CA,JP,,
T-000311,2025-05-27 08:01:00.000000,ACC-N0017,ACC-N0008,3381.95,USD,DEP,ATM,GB,AU,,
T-000312,2025-04-19 04:27:00.000000,ACC-SMF06,ACC-N0137,641.21,USD,XFER,MOB,AU,US,,
T-000313,2025-03-19 04:33:00.000000,ACC-N0145,ACC-N0066,9666.94,USD,DEP,BRN,FR,GB,,
T-000314,2025-03-06 10:45:00.000000,ACC-N0098,ACC-LAY09,4394.43,USD,XFER,MOB,JP,AU,,
T-000315,2025-05-18 10:38:00.000000,ACC-N0176,ACC-N0047,10894.23,USD,DEP,ONL,DE,JP,,
T-000316,2025-05-28 13:12:00.000000,ACC-RCO10,ACC-N0006,358.72,USD,DEP,ONL,FR,CA,,
T-000317,2025-03-01 04:14:00.000000,ACC-N0082,ACC-N0065,2786.73,USD,DEP,ATM,US,DE,,
T-000318,2025-05-22 17:59:00.000000,ACC-LAY17,ACC-N0072,5897.79,USD,DEP,BRN,AU,AU,,
T-000319,2025-03-17 14:32:00.000000,ACC-N0022,ACC-N0156,4013.9,USD,XFER,MOB,FR,CA,,
T-000320,2025-05-13 11:50:00.000000,ACC-RCO02,ACC-N0072,13294.54,USD,XFER,MOB,SG,CA,,
T-000321,2025-03-31 14:35:00.000000,ACC-N0119,ACC-N0083,11095.8,USD,DEP,ATM,FR,DE,,
T-000322,2025-04-07 19:22:00.000000,ACC-N0156,ACC-N0048,5840.66,USD,XFER,MOB,AU,US,,
T-000323,2025-03-08 08:31:00.000000,ACC-N0176,ACC-N0080,3503.24,USD,XFER,MOB,CA,AU,,
T-000324,2025-05-18 20:43:00.000000,ACC-N0137,ACC-N0066,10574.45,USD,XFER,ONL,US,AU,,
T-000325,2025-04-08 23:14:00.000000,ACC-N0071,ACC-N0155,10682.62,USD,XFER,MOB,GB,FR,,
T-000326,2025-04-18 05:13:00.000000,ACC-SMF14,ACC-N0154,1863.51,USD,XFER,ONL,SG,CA,,
T-000327,2025-04-17 16:42:00.000000,ACC-N0163,ACC-N0027,14311.82,USD,DEP,BRN,FR,JP,,
T-000328,2025-05-12 10:04:00.000000,ACC-N0125,ACC-STR03,973.85,USD,WD,BRN,CA,GB,,
T-000329,2025-03-06 16:27:00.000000,ACC-STR09,ACC-N0035,11626.92,USD,DEP,BRN,FR,SG,,
T-000330,2025-05-07 04:30:00.000000,ACC-N0043,ACC-N0137,14477.99,USD,DEP,ATM,GB,FR,,
T-000331,2025-05-15 04:46:00.000000,ACC-N0039,ACC-N0140,6484.95,USD,DEP,ATM,CA,JP,,
T-000332,2025-04-14 11:25:00.000000,ACC-LAY06,ACC-LAY07,814.41,USD,XFER,MOB,SG,SG,,
T-000333,2025-03-17 16:33:00.000000,ACC-N0142,ACC-STR04,3273.51,USD,XFER,ONL,FR,AU,,
T-000334,2025-05-20 06:37:00.000000,ACC-N0007,ACC-N0011,12518.98,USD,DEP,ATM,AU,GB,,
T-000335,2025-04-21 02:12:00.000000,ACC-N0140,ACC-N0174,1978.56,USD,XFER,MOB,JP,US,,
T-000336,2025-03-18 15:33:00.000000,ACC-STR09,ACC-N0044,11889.89,USD,XFER,MOB,GB,CA,,
T-000337,2025-05-08 23:11:00.000000,ACC-N0031,ACC-N0027,7472.43,USD,XFER,MOB,CA,DE,,
T-000338,2025-04-29 00:03:00.000000,ACC-N0209,ACC-RCO02,10144.46,USD,WD,BRN,JP,JP,,
T-000339,2025-05-09 07:22:00.000000,ACC-N0192,ACC-LAY17,308.76,USD,XFER,ONL,SG,DE,,
T-000340,2025-05-16 22:29:00.000000,ACC-N0080,ACC-SMF17,8969.46,USD,XFER,MOB,GB,US,,
T-000341,2025-05-25 18:33:00.000000,ACC-N0141,ACC-N0037,14996.72,USD,XFER,MOB,JP,FR,,
T-000342,2025-03-03 11:30:00.000000,ACC-N0195,ACC-N0135,3461.63,USD,DEP,ATM,DE,JP,,
T-000343,2025-04-01 04:11:00.000000,ACC-N0097,ACC-SMF13,11875.82,USD,XFER,ONL,DE,DE,,
T-000344,2025-04-25 12:57:00.000000,ACC-N0059,ACC-SMF16,12303.94,USD,WD,BRN,DE,GB,,
T-000345,2025-04-20 16:45:00.000000,ACC-N0162,ACC-N0008,8322.62,USD,XFER,MOB,US,CA,,
T-000346,2025-04-24 23:40:00.000000,ACC-N0076,ACC-N0106,12513.97,USD,XFER,MOB,JP,DE,,
T-000347,2025-03-09 03:19:00.000000,ACC-N0015,ACC-N0097,3832.13,USD,XFER,MOB,AU,FR,,
T-000348,2025-03-29 21:04:00.000000,ACC-N0189,ACC-N0219,9742.94,USD,XFER,ONL,CA,GB,,
T-000349,2025-05-09 01:48:00.000000,ACC-N0128,ACC-N0087,12200.88,USD,WD,BRN,FR,SG,,
T-000350,2025-04-18 05:14:00.000000,ACC-N0005,ACC-N0085,9289.94,USD,DEP,ATM,JP,SG,,
T-000351,2025-05-01 07:57:00.000000,ACC-STR11,ACC-N0057,7471.09,USD,XFER,MOB,JP,FR,,
T-000352,2025-05-05 19:28:00.000000,ACC-N0164,ACC-RCO07,5009.59,USD,WD,BRN,CA,CA,,
T-000353,2025-03-31 06:41:00.000000,ACC-SMF21,ACC-N0176,9473.77,USD,XFER,ONL,GB,US,,
T-000354,2025-03-25 07:32:00.000000,ACC-HUB04,ACC-N0181,359.48,USD,WD,BRN,DE,AU,,
T-000355,2025-03-31 11:58:00.000000,ACC-N0143,ACC-N0207,1749.68,USD,DEP,ONL,US,SG,,
T-000356,2025-05-16 03:07:00.000000,ACC-N0003,ACC-SMF08,13596.97,USD,DEP,BRN,AU,CA,,
T-000357,2025-05-07 10:05:00.000000,ACC-N0192,ACC-N0082,12200.75,USD,XFER,ONL,CA,DE,,
T-000358,2025-03-05 04:38:00.000000,ACC-N0114,ACC-N0042,7386.0,USD,XFER,ONL,AU,CA,,
T-000359,2025-05-22 02:36:00.000000,ACC-N0099,ACC-N0031,7378.88,USD,XFER,MOB,SG,FR,,
T-000360,2025-05-18 02:36:00.000000,ACC-LAY18,ACC-N0137,7500.37,USD,WD,BRN,SG,US,,
T-000361,2025-03-08 15:02:00.000000,ACC-N0038,ACC-SMF03,12963.77,USD,XFER,MOB,AU,AU,,
T-000362,2025-03-13 03:20:00.000000,ACC-N0219,ACC-N0146,5097.45,USD,DEP,ATM,FR,GB,,
T-000363,2025-05-18 23:55:00.000000,ACC-N0135,ACC-N0113,7830.64,USD,WD,BRN,AU,FR,,
T-000364,2025-05-18 10:04:00.000000,ACC-N0101,ACC-N0053,7179.94,USD,WD,BRN,JP,DE,,
T-000365,2025-05-17 22:14:00.000000,ACC-N0125,ACC-N0101,7332.5,USD,DEP,ONL,GB,AU,,
T-000366,2025-04-04 04:25:00.000000,ACC-STR06,ACC-N0100,13375.37,USD,WD,ATM,FR,CA,,
T-000367,2025-04-01 19:04:00.000000,ACC-STR11,ACC-N0088,8500.66,USD,XFER,ONL,JP,AU,,
T-000368,2025-05-28 21:07:00.000000,ACC-N0094,ACC-HUB02,2061.34,USD,WD,ATM,CA,SG,,
T-000369,2025-03-03 13:59:11.372596,ACC-HUB02,ACC-SMF10,7547.62,USD,XFER,ONL,US,US,Y,SMURFING
T-000370,2025-05-19 17:09:00.000000,ACC-N0097,ACC-N0168,666.4,USD,WD,ATM,AU,CA,,
T-000371,2025-04-26 14:29:00.000000,ACC-SMF14,ACC-SMF08,9902.62,USD,WD,ATM,JP,AU,,
T-000372,2025-04-15 05:50:00.000000,ACC-N0015,ACC-N0152,1491.46,USD,XFER,MOB,CA,AU,,
T-000373,2025-03-19 13:05:00.000000,ACC-N0024,ACC-N0109,11069.0,USD,WD,BRN,GB,AU,,
T-000374,2025-05-22 23:20:00.000000,ACC-LAY24,ACC-N0182,11320.01,USD,XFER,MOB,SG,US,,
T-000375,2025-05-05 21:53:00.000000,ACC-SMF18,ACC-LAY03,9872.32,USD,WD,ATM,CA,DE,,
T-000376,2025-03-31 22:05:00.000000,ACC-N0109,ACC-N0114,1260.42,USD,XFER,MOB,GB,JP,,
T-000377,2025-03-13 03:36:00.000000,ACC-N0179,ACC-N0074,12397.06,USD,XFER,MOB,CA,US,,
T-000378,2025-04-09 16:38:00.000000,ACC-N0044,ACC-N0168,3411.94,USD,XFER,ONL,SG,DE,,
T-000379,2025-03-25 13:49:00.000000,ACC-N0027,ACC-N0046,5923.68,USD,XFER,ONL,DE,DE,,
T-000380,2025-05-06 08:27:00.000000,ACC-N0149,ACC-N0092,7913.92,USD,DEP,ATM,CA,SG,,
T-000381,2025-05-11 04:58:00.000000,ACC-RCO02,ACC-N0088,10104.7,USD,WD,ATM,GB,DE,,
T-000382,2025-03-26 16:03:00.000000,ACC-LAY18,ACC-HUB02,14383.28,USD,XFER,ONL,JP,CA,,
T-000383,2025-03-23 18:28:00.000000,ACC-N0179,ACC-N0135,558.01,USD,XFER,ONL,SG,US,,
T-000384,2025-05-01 10:40:00.000000,ACC-STR04,ACC-N0024,9718.48,USD,XFER,MOB,DE,SG,,
T-000385,2025-05-03 07:07:00.000000,ACC-SMF14,ACC-SMF18,9124.67,USD,DEP,BRN,CA,AU,,
T-000386,2025-03-11 10:25:00.000000,ACC-N0183,ACC-N0005,9049.49,USD,XFER,MOB,JP,FR,,
T-000387,2025-03-04 07:14:00.000000,ACC-N0191,ACC-N0199,1857.88,USD,XFER,ONL,DE,SG,,
T-000388,2025-03-26 23:55:00.000000,ACC-N0075,ACC-N0108,9370.12,USD,DEP,BRN,DE,JP,,
T-000389,2025-04-05 18:42:00.000000,ACC-STR12,ACC-N0018,3684.51,USD,XFER,MOB,US,CA,,
T-000390,2025-03-25 22:55:00.000000,ACC-LAY22,ACC-LAY23,265773.4,USD,WIRE,WR,GB,FR,Y,LAYERING
T-000391,2025-04-09 10:54:00.000000,ACC-N0162,ACC-N0135,6112.93,USD,XFER,MOB,JP,AU,,
T-000392,2025-05-17 04:24:00.000000,ACC-SMF04,ACC-N0154,7665.37,USD,XFER,MOB,CA,SG,,
T-000393,2025-03-04 19:02:00.000000,ACC-N0165,ACC-N0202,10959.62,USD,DEP,BRN,DE,JP,,
T-000394,2025-03-29 00:50:00.000000,ACC-N0193,ACC-LAY03,9710.53,USD,XFER,ONL,AU,GB,,
T-000395,2025-05-26 02:29:00.000000,ACC-N0097,ACC-N0071,14793.43,USD,XFER,ONL,GB,CA,,
T-000396,2025-03-27 08:02:00.000000,ACC-STR04,ACC-N0005,6134.15,USD,DEP,ATM,SG,FR,,
T-000397,2025-04-16 18:58:00.000000,ACC-N0062,ACC-N0208,8638.16,USD,DEP,BRN,US,FR,,
T-000398,2025-05-27 05:00:00.000000,ACC-STR04,ACC-SMF14,14454.2,USD,DEP,ATM,SG,SG,,
T-000399,2025-05-11 07:32:45.967412,ACC-HUB04,ACC-SMF21,8560.97,USD,XFER,ONL,US,US,Y,SMURFING
T-000400,2025-03-28 18:45:00.000000,ACC-N0114,ACC-N0071,5676.17,USD,WD,BRN,JP,CA,,
T-000401,2025-03-03 04:08:00.000000,ACC-N0016,ACC-LAY11,7445.28,USD,DEP,ONL,SG,US,,
T-000402,2025-03-09 08:47:00.000000,ACC-N0076,ACC-N0202,11138.84,USD,XFER,MOB,DE,CA,,
T-000403,2025-03-30 02:40:00.000000,ACC-N0162,ACC-LAY18,3972.57,USD,XFER,MOB,AU,CA,,
T-000404,2025-03-18 20:58:00.000000,ACC-N0179,ACC-SMF19,14137.68,USD,XFER,MOB,CA,GB,,
T-000405,2025-04-13 12:41:00.000000,ACC-N0168,ACC-N0027,8598.76,USD,XFER,ONL,SG,DE,,
T-000406,2025-05-05 02:50:00.000000,ACC-N0194,ACC-RCO08,3917.08,USD,DEP,ATM,AU,FR,,
T-000407,2025-04-14 16:12:00.000000,ACC-N0067,ACC-N0049,3784.84,USD,DEP,ONL,US,FR,,
T-000408,2025-03-11 08:45:00.000000,ACC-N0053,ACC-SMF21,7827.77,USD,WD,ATM,CA,US,,
T-000409,2025-03-17 15:24:00.000000,ACC-N0093,ACC-N0050,10509.46,USD,DEP,ONL,CA,AU,,
T-000410,2025-03-29 07:33:00.000000,ACC-LAY08,ACC-N0059,3420.51,USD,XFER,ONL,FR,GB,,
T-000411,2025-03-11 07:01:00.000000,ACC-N0005,ACC-N0005,9657.74,USD,XFER,ONL,GB,JP,,
T-000412,2025-05-10 03:10:00.000000,ACC-N0138,ACC-N0191,7064.01,USD,WD,BRN,JP,DE,,
T-000413,2025-04-28 05:04:00.000000,ACC-HUB04,ACC-N0003,7873.24,USD,WD,BRN,FR,AU,,
T-000414,2025-04-20 17:57:00.000000,ACC-N0001,ACC-RCO05,40766.68,USD,WIRE,WR,AU,US,Y,RAPID_CASHOUT
T-000415,2025-05-11 16:11:00.000000,ACC-LAY06,ACC-LAY07,283248.73,USD,WIRE,WR,DE,CA,Y,LAYERING
T-000416,2025-04-28 09:20:00.000000,ACC-N0104,ACC-N0102,12288.19,USD,DEP,ONL,FR,DE,,
T-000417,2025-05-02 23:51:00.000000,ACC-N0156,ACC-N0176,4567.55,USD,XFER,MOB,JP,CA,,
T-000418,2025-04-01 08:43:00.000000,ACC-N0172,ACC-SMF20,10024.65,USD,WD,ATM,GB,SG,,
T-000419,2025-04-04 02:57:00.000000,ACC-N0046,ACC-N0090,2722.67,USD,XFER,MOB,JP,JP,,
T-000420,2025-03-10 21:57:00.000000,ACC-N0091,ACC-N0010,5048.12,USD,XFER,ONL,AU,AU,,
T-000421,2025-03-15 23:01:00.000000,ACC-LAY09,ACC-N0190,6656.03,USD,XFER,MOB,FR,AU,,
T-000422,2025-03-31 19:00:00.000000,ACC-STR09,ACC-STR09,4164.88,USD,XFER,MOB,JP,GB,,
T-000423,2025-03-24 11:42:00.000000,ACC-N0145,ACC-N0117,14968.05,USD,DEP,BRN,AU,AU,,
T-000424,2025-03-24 18:48:00.000000,ACC-STR06,ACC-STR07,8563.9,USD,XFER,MOB,FR,GB,,
T-000425,2025-03-18 11:09:30.041544,ACC-RCO01,ACC-LAY14,14757.25,USD,CSH,BRN,US,US,Y,RAPID_CASHOUT
T-000426,2025-04-02 01:19:00.000000,ACC-LAY20,ACC-N0179,6518.4,USD,XFER,ONL,FR,GB,,
T-000427,2025-05-10 11:53:00.000000,ACC-N0048,ACC-HUB04,136651.21,USD,WIRE,WR,US,US,Y,SMURFING
T-000428,2025-05-05 16:50:00.000000,ACC-N0005,ACC-N0103,4833.91,USD,XFER,ONL,JP,CA,,
T-000429,2025-05-28 05:08:00.000000,ACC-N0069,ACC-N0075,8162.47,USD,XFER,ONL,SG,JP,,
T-000430,2025-04-30 15:16:00.000000,ACC-LAY10,ACC-N0044,4386.22,USD,XFER,ONL,SG,DE,,
T-000431,2025-04-03 16:20:00.000000,ACC-LAY05,ACC-N0124,6679.4,USD,WD,ATM,SG,CA,,
T-000432,2025-03-20 21:45:00.000000,ACC-N0073,ACC-N0096,11715.86,USD,DEP,ATM,SG,GB,,
T-000433,2025-05-05 21:21:00.000000,ACC-N0084,ACC-LAY20,14380.58,USD,XFER,ONL,FR,AU,,
T-000434,2025-04-13 23:02:00.000000,ACC-N0203,ACC-N0180,14635.08,USD,XFER,MOB,DE,JP,,
T-000435,2025-03-03 00:28:48.178338,ACC-RCO02,ACC-N0180,12738.92,USD,CSH,ATM,US,US,Y,RAPID_CASHOUT
T-000436,2025-04-05 14:07:00.000000,ACC-N0117,ACC-N0216,2876.88,USD,DEP,BRN,AU,SG,,
T-000437,2025-04-20 04:09:00.000000,ACC-N0084,ACC-SMF17,833.03,USD,DEP,BRN,FR,AU,,
T-000438,2025-05-19 20:40:00.000000,ACC-N0173,ACC-N0181,4643.78,USD,WD,ATM,GB,SG,,
T-000439,2025-03-16 11:33:00.000000,ACC-N0101,ACC-SMF08,12523.63,USD,XFER,MOB,US,SG,,
T-000440,2025-04-03 06:25:00.000000,ACC-STR07,ACC-N0081,9261.82,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000441,2025-03-02 16:47:19.994944,ACC-HUB02,ACC-SMF10,8011.65,USD,XFER,ONL,US,US,Y,SMURFING
T-000442,2025-05-20 07:07:00.000000,ACC-N0083,ACC-N0200,4291.4,USD,DEP,ONL,CA,CA,,
T-000443,2025-03-24 09:17:00.000000,ACC-N0005,ACC-RCO06,11919.35,USD,XFER,ONL,DE,FR,,
T-000444,2025-04-24 08:27:00.000000,ACC-N0134,ACC-N0126,11844.5,USD,XFER,MOB,DE,JP,,
T-000445,2025-04-07 20:02:00.000000,ACC-N0067,ACC-N0077,5020.59,USD,XFER,MOB,CA,CA,,
T-000446,2025-05-11 06:24:00.000000,ACC-SMF06,ACC-N0048,10803.38,USD,WD,ATM,FR,FR,,
T-000447,2025-03-21 11:24:00.000000,ACC-STR01,ACC-SMF24,9379.09,USD,CSH,ATM,US,US,Y,STRUCTURING
